"id","name"
"1","Andromeda Island"
"2","Asgard"
"3","Blocken Mount"
"4","Blue Graad"
"5","Bomi Hills"
"6","Côte d'Azur"
"7","Centaur Island"
"8","Death Queen Island"
"9","Five Ancient Peaks of Rozan"
"10","Fujiryu Clan"
"11","Milos Island"
"12","Jamir, Himalayas"
"13","Kanon Island"
"14","Lake Holtz"
"15","Mt. Kilimanjaro"
"16","Mughal Empire (today part of Bangladesh and India)"
"17","Olympus"
"18","Oran /  Algeria"
"19","Orphan Island"
"20","Palaestra"
"21","Pallas Belda"
"22","Pyrenees"
"23","Rocky Mountains"
"24","Saintia Academy"
"25","Sanctuary"
"26","Scotland"
"27","Senkyo"
"28","Siberia"
"29","Sicily"
"30","Thebes"
"31","Togakushi mountain"
"32","Healers Island"
