id,name,debut
1,Īki Pieria,
2,Abysmal Lake,
3,Activate Sword Curse,
4,Akubensu,
5,Amata no Tsurugi,
6,Amethyst Sealed,
7,Andromeda Nebula,
8,Angel Splash,
9,Annihilation Flap,
10,Another Dimension,
11,Ansuz,
12,Antares,
13,Antares Maelstrom,
14,Axe Crux,
15,Ōm,
16,Apoptosis,
17,Aquila Shining Buster,
18,Aquila Spinning Predation,
19,Arc Plasma,
20,Arkhein Curse,
21,Arondight Property Open,
22,Arrested Judgement,
23,Arrow of the Goddess,
24,Arrow Sagittarius,
25,Aster Blade,
26,Aster Choreía,
27,Aster Kyklos,
28,Aster Shield,
29,Astral Gravitation,
30,Athena Exclamation,
31,Atomic Thunderbolt,
32,Auge Hydor,
33,Aurora Borealis,
34,Aurora Execution,
35,Aurora Thunder Attack,
36,Avenger Shot,
37,Balance of Curse,
38,Bangōsenseki,
39,Beast Fall,
40,Big Fart,
41,Big Knuckle,
42,Big Tornado,
43,Big Wall,
44,Bio Rewind,
45,Black Blizzard,
46,Black Feather Defense,
47,Black Ryu Sei Ken,
48,Black Shō Ryū Ha (Saint Seiya Senki only),
49,Black Thunder Acceleration,
50,Black Wing Shift,
51,Blast Bee Stinger,
52,Blast Scythe,
53,Blazing Claw Whip,
54,Blood Flower Scissors,
55,Blood Spray,
56,Bloody Bullet,
57,Bloody Canon,
58,Bloody Dagger,
59,Bloody Hurricane,
60,Bloody Rain,
61,Bloody Rose,
62,Bloody Squall,
63,Bloody Waltz,
64,Blue Impulse,
65,Bodai Shōgo,
66,Bofu no Baku,
67,Bofu no Yaiba,
68,Bone Crush Screw,
69,Boomerang Shot,
70,Brabeus Blade,
71,Brabeus Talanton,
72,Brutal Phantom,
73,Brutal Real,
74,Bunshin no Jutsu,
75,Burial Fort,
76,Burning Corona,
77,Bushinkorinken,
78,Cancer All Beauty Ken,
79,Casting Net,
80,Cheiron's Light Impulse,
81,Chrono Catastrophe,
82,Chrono Conclusion Eternal,
83,Chrono Delayed,
84,Chrono Destruction,
85,Chrono Divide,
86,Chrono Dominion,
87,Chrono Execution,
88,Chrono Immortal,
89,Circle Defense,
90,Colossus Live,
91,Corona Blast,
92,Cosmic Marionation,
93,Cosmic Marionation Change,
94,Cosmo Conduction,
95,Cosmo Reflect,
96,Cragg Press,
97,Crazy Destruction,
98,Cremation Storm,
99,Cremito Rupis,
100,Crimson Billow,
101,Crimson Cross,
102,Crimson Needle,
103,Crimson Thorn,
104,Crimson Viper,
105,Crossroad Mirage,
106,Crucify Ankh,
107,Crystal Net,
108,Crystal Wall,
109,Current Impact,
110,Curse of Lily,
111,Curse Sword Activate,
112,Dagger Rose,
113,Danzetsu Fuuin,
114,Dark Mist,
115,Dark Phoenix diabolical illusion,
116,Dark Sun,
117,Dark Thunder Planet,
118,Darkness Roar,
119,Dazzling Voltage,
120,Dead End Climax,
121,Dead End Fly,
122,Dead End Symphony,
123,Dead Howling,
124,Dead Perfume,
125,Death Claw,
126,Death Messenger,
127,Death Queen Inferno,
128,Death Trip Serenade,
129,Deathtrap Coral,
130,Deep Fragrance,
131,Delphinus Bomb,
132,Demon Fantasia,
133,Demon's Hammer,
134,Despaired Bite,
135,Destructive Slash,
136,Devil Blizzard,
137,Devil Execution,
138,Devil Twin Tempest,
139,Diamond Dust,
140,Diamond Dust Ray,
141,Divine Tornado,
142,Dokuso Kakusan,
143,Domination Language,
144,Doton no Jutsu,
145,Doton no Jutsu Genkugutsu,
146,Doton Sajin no Mae,
147,Doton Souga Horouchi,
148,Doton! Dorui Tenjo,
149,Double Excalibur,
150,Dragon Blade,
151,Dragon Breath Blizard,
152,Dragonewt Bullet,
153,Drawn Sword,
154,Dunamis Megas Depranon,
155,Dunamis Odous,
156,Dunamis Pelekus,
157,Dunamis Pneuma,
158,Dunamis Pteryx,
159,Dunamis Whirlwind,
160,Eagle Claw Flash,
161,Eagle Clutch,
162,Earthquake Mixer,
163,Ebony Gale,
164,Ebony Illumination,
165,Ebony Plasma,
166,Ebony Rapier,
167,Ebony Vortex,
168,Eddying Current Crasher,
169,Eight Direction Claw,
170,Eigouring,
171,Element Rejection,
172,Encounter another Field,
173,Enken Tenrin,
174,Equuleus Meteor Fist,
175,Equuleus Ryūsei Ken,
176,Eternal Drowsiness,
177,Ex. Caliburn,
178,Excalibur,
179,Excalibur (Violent Dance),
180,Eye of Charge,
