id,name,singular
1,Angels,Angel
2,Golden Tribe,Golden Tribe
3,Berserkers,Berserker
4,Blue Warriors,Blue Warrior
5,Corona Saints,Corona Saint
6,Dryads,Dryad
7,Faceless,Faceless
8,Fairies,Fairy
9,Gigas,Giga
10,Gladiators,Gladiator
11,God Warriors,God Warrior
12,Jaguars,Jaguar
13,Jewels,Jewel
14,Mariners,Mariner
15,Martians,Martian
16,Legionaries,Legionary
17,Others,Other
18,Pallasites,Pallasite
19,Mythology Creatures,Mythology Creature
20,Saints,Saint
21,Satellites,Satellite
22,Lamech Saints,Lamech Saint
23,Specters,Specter
24,Taonias,Taonia
25,Titans,Titan
