id,group,class,classSingular,name,meaning,image
1,apollo-gods,Corona Saints,Corona Saint,Gods,,
,,,,,,
1,apollo-saints,Corona Saints,Corona Saint,Andromeda constellation,Chained maiden,assets/constellations/andromeda.png
2,apollo-saints,Corona Saints,Corona Saint,Antlia constellation,Air pump,assets/constellations/antlia.png
3,apollo-saints,Corona Saints,Corona Saint,Apus constellation,Bird of paradise,assets/constellations/apus.png
4,apollo-saints,Corona Saints,Corona Saint,Aquarius constellation,Water bearer,assets/constellations/aquarius.png
5,apollo-saints,Corona Saints,Corona Saint,Aquila constellation,Eagle,assets/constellations/aquila.png
6,apollo-saints,Corona Saints,Corona Saint,Ara constellation,Altar,assets/constellations/ara.png
7,apollo-saints,Corona Saints,Corona Saint,Aries constellation,Ram,assets/constellations/aries.png
8,apollo-saints,Corona Saints,Corona Saint,Auriga constellation,Charioteer,assets/constellations/auriga.png
9,apollo-saints,Corona Saints,Corona Saint,Bootes constellation,Herdsman,assets/constellations/bootes.png
10,apollo-saints,Corona Saints,Corona Saint,Caelum constellation,Chisel,assets/constellations/caelum.png
11,apollo-saints,Corona Saints,Corona Saint,Camelopardalis constellation,Giraffe,assets/constellations/camelopardalis.png
12,apollo-saints,Corona Saints,Corona Saint,Cancer constellation,Crab,assets/constellations/cancer.png
13,apollo-saints,Corona Saints,Corona Saint,Canes Venatici constellation,Hunting dogs,assets/constellations/canes-venatici.png
14,apollo-saints,Corona Saints,Corona Saint,Canis Major constellation,Big dog,assets/constellations/canis-major.png
15,apollo-saints,Corona Saints,Corona Saint,Canis Minor constellation,Small dog,assets/constellations/canis-minor.png
16,apollo-saints,Corona Saints,Corona Saint,Capricornus constellation,Sea goat,assets/constellations/capricornus.png
17,apollo-saints,Corona Saints,Corona Saint,Carina constellation,Keel of argo navis,assets/constellations/carina.png
18,apollo-saints,Corona Saints,Corona Saint,Cassiopeia constellation,Queen,assets/constellations/cassiopeia.png
19,apollo-saints,Corona Saints,Corona Saint,Centaurus constellation,Centaur,assets/constellations/centaurus.png
20,apollo-saints,Corona Saints,Corona Saint,Cepheus constellation,King,assets/constellations/cepheus.png
21,apollo-saints,Corona Saints,Corona Saint,Cetus constellation,Whale,assets/constellations/cetus.png
22,apollo-saints,Corona Saints,Corona Saint,Chamaeleon constellation,Chameleon,assets/constellations/chamaeleon.png
23,apollo-saints,Corona Saints,Corona Saint,Circinus constellation,Compass,assets/constellations/circinus.png
24,apollo-saints,Corona Saints,Corona Saint,Columba constellation,Dove,assets/constellations/columba.png
25,apollo-saints,Corona Saints,Corona Saint,Coma Berenices constellation,Berenice’s hair,assets/constellations/coma-berenices.png
26,apollo-saints,Corona Saints,Corona Saint,Corona Australis constellation,Southern crown,assets/constellations/corona-australis.png
27,apollo-saints,Corona Saints,Corona Saint,Corona Borealis constellation,Northern crown,assets/constellations/corona-borealis.png
28,apollo-saints,Corona Saints,Corona Saint,Corvus constellation,Raven,assets/constellations/corvus.png
29,apollo-saints,Corona Saints,Corona Saint,Crater constellation,Cup,assets/constellations/crater.png
30,apollo-saints,Corona Saints,Corona Saint,Crux constellation,Southern cross,assets/constellations/crux.png
31,apollo-saints,Corona Saints,Corona Saint,Cygnus constellation,Swan,assets/constellations/cygnus.png
32,apollo-saints,Corona Saints,Corona Saint,Delphinus constellation,Dolphin,assets/constellations/delphinus.png
33,apollo-saints,Corona Saints,Corona Saint,Dorado constellation,Dolphinfish,assets/constellations/dorado.png
34,apollo-saints,Corona Saints,Corona Saint,Draco constellation,Dragon,assets/constellations/draco.png
35,apollo-saints,Corona Saints,Corona Saint,Equuleus constellation,Little horse,assets/constellations/equuleus.png
36,apollo-saints,Corona Saints,Corona Saint,Eridanus constellation,Celestial river,assets/constellations/eridanus.png
37,apollo-saints,Corona Saints,Corona Saint,Fornax constellation,Furnace,assets/constellations/fornax.png
38,apollo-saints,Corona Saints,Corona Saint,Gemini constellation,Twins,assets/constellations/gemini.png
39,apollo-saints,Corona Saints,Corona Saint,Grus constellation,Crane,assets/constellations/grus.png
40,apollo-saints,Corona Saints,Corona Saint,Heracles constellation,Strong man,assets/constellations/hercules.png
41,apollo-saints,Corona Saints,Corona Saint,Horologium constellation,Pendulum clock,assets/constellations/horologium.png
42,apollo-saints,Corona Saints,Corona Saint,Hydra constellation,Water serpent,assets/constellations/hydra.png
43,apollo-saints,Corona Saints,Corona Saint,Hydrus constellation,Water snake,assets/constellations/hydrus.png
44,apollo-saints,Corona Saints,Corona Saint,Indus constellation,Indian,assets/constellations/indus.png
45,apollo-saints,Corona Saints,Corona Saint,Lacerta constellation,Lizard,assets/constellations/lacerta.png
46,apollo-saints,Corona Saints,Corona Saint,Leo constellation,Lion,assets/constellations/leo.png
47,apollo-saints,Corona Saints,Corona Saint,Leo Minor constellation,Little lion,assets/constellations/leo-minor.png
48,apollo-saints,Corona Saints,Corona Saint,Lepus constellation,Hare,assets/constellations/lepus.png
49,apollo-saints,Corona Saints,Corona Saint,Libra constellation,Scales,assets/constellations/libra.png
50,apollo-saints,Corona Saints,Corona Saint,Lupus constellation,Wolf,assets/constellations/lupus.png
51,apollo-saints,Corona Saints,Corona Saint,Lynx constellation,Lynx,assets/constellations/lynx.png
52,apollo-saints,Corona Saints,Corona Saint,Lyra constellation,Harp,assets/constellations/lyra.png
53,apollo-saints,Corona Saints,Corona Saint,Mensa constellation,Table mountain,assets/constellations/mensa.png
