id,group,class,classSingular,name,meaning,image
1,athena-unknown-saints,Saints,Saint,Saints Without Constellation,,
,,,,,,
1,athena-gods,Saints,Saint,Gods,,
,,,,,,
1,athena-soldiers,Saints,Saint,Soldier,,
,,,,,,
1,athena-saints,Saints,Saint,Andromeda constellation,Chained maiden,assets/constellations/andromeda.png
2,athena-saints,Saints,Saint,Antlia constellation,Air pump,assets/constellations/antlia.png
3,athena-saints,Saints,Saint,Apus constellation,Bird of paradise,assets/constellations/apus.png
4,athena-saints,Saints,Saint,Aquarius constellation,Water bearer,assets/constellations/aquarius.png
5,athena-saints,Saints,Saint,Aquila constellation,Eagle,assets/constellations/aquila.png
6,athena-saints,Saints,Saint,Ara constellation,Altar,assets/constellations/ara.png
7,athena-saints,Saints,Saint,Aries constellation,Ram,assets/constellations/aries.png
8,athena-saints,Saints,Saint,Auriga constellation,Charioteer,assets/constellations/auriga.png
9,athena-saints,Saints,Saint,Bootes constellation,Herdsman,assets/constellations/bootes.png
10,athena-saints,Saints,Saint,Caelum constellation,Chisel,assets/constellations/caelum.png
11,athena-saints,Saints,Saint,Camelopardalis constellation,Giraffe,assets/constellations/camelopardalis.png
12,athena-saints,Saints,Saint,Cancer constellation,Crab,assets/constellations/cancer.png
13,athena-saints,Saints,Saint,Canes Venatici constellation,Hunting dogs,assets/constellations/canes-venatici.png
14,athena-saints,Saints,Saint,Canis Major constellation,Big dog,assets/constellations/canis-major.png
15,athena-saints,Saints,Saint,Canis Minor constellation,Small dog,assets/constellations/canis-minor.png
16,athena-saints,Saints,Saint,Capricornus constellation,Sea goat,assets/constellations/capricornus.png
17,athena-saints,Saints,Saint,Carina constellation,Keel of argo navis,assets/constellations/carina.png
18,athena-saints,Saints,Saint,Cassiopeia constellation,Queen,assets/constellations/cassiopeia.png
19,athena-saints,Saints,Saint,Centaurus constellation,Centaur,assets/constellations/centaurus.png
20,athena-saints,Saints,Saint,Cepheus constellation,King,assets/constellations/cepheus.png
21,athena-saints,Saints,Saint,Cetus constellation,Whale,assets/constellations/cetus.png
22,athena-saints,Saints,Saint,Chamaeleon constellation,Chameleon,assets/constellations/chamaeleon.png
23,athena-saints,Saints,Saint,Circinus constellation,Compass,assets/constellations/circinus.png
24,athena-saints,Saints,Saint,Columba constellation,Dove,assets/constellations/columba.png
25,athena-saints,Saints,Saint,Coma Berenices constellation,Berenice’s hair,assets/constellations/coma-berenices.png
26,athena-saints,Saints,Saint,Corona Australis constellation,Southern crown,assets/constellations/corona-australis.png
27,athena-saints,Saints,Saint,Corona Borealis constellation,Northern crown,assets/constellations/corona-borealis.png
28,athena-saints,Saints,Saint,Corvus constellation,Raven,assets/constellations/corvus.png
29,athena-saints,Saints,Saint,Crater constellation,Cup,assets/constellations/crater.png
30,athena-saints,Saints,Saint,Crux constellation,Southern cross,assets/constellations/crux.png
31,athena-saints,Saints,Saint,Cygnus constellation,Swan,assets/constellations/cygnus.png
