id,name,meaning,illustration
1,Andromeda,Chained maiden,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fandromeda.png?alt=media&token=a7a975d8-d321-4aa1-bc0c-b1e5663d739a
2,Antlia,Air pump,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fantlia.png?alt=media&token=ab72feeb-1e79-44a9-8865-23bddada7234
3,Apus,Bird of paradise,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fapus.png?alt=media&token=42d15659-e288-4250-a964-ffd29117d025
4,Aquarius,Water bearer,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Faquarius.png?alt=media&token=70f14e08-6fb8-4d5e-a4c6-02f679474fbc
5,Aquila,Eagle,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Faquila.png?alt=media&token=febebd23-f00e-413b-bd38-9a5d70ec661a
6,Ara,Altar,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fara.png?alt=media&token=bd63c5a1-c17f-46f7-a58c-f19e9fb9fa43
7,Aries,Ram,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Faries.png?alt=media&token=6b524f8c-edb3-4bf1-9026-b8de0edd3247
8,Auriga,Charioteer,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fauriga.png?alt=media&token=927e69c7-1c67-424b-b43d-811ee173d2d9
9,Bootes,Herdsman,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fbootes.png?alt=media&token=aff905d6-1c82-450d-a289-d532efd20a68
10,Caelum,Chisel,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcaelum.png?alt=media&token=afbd08a2-d05f-4a2f-8237-d04afe685141
11,Camelopardalis,Giraffe,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcamelopardalis.png?alt=media&token=2a388c79-7168-4546-911f-2cf28be90809
12,Cancer,Crab,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcancer.png?alt=media&token=cff96339-8480-4605-924b-b8649fd320ff
13,Canes venatici,Hunting dogs,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcanes-venatici.png?alt=media&token=d43ec667-060b-4bbc-82e3-42efa00e3b2a
14,Canis major,Big dog,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcanis-major.png?alt=media&token=cb246323-2e8e-406b-b093-277b23178948
15,Canis minor,Small dog,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/constellations%2Fcanis-minor.png?alt=media&token=fb788a04-37e7-4950-b131-0c3071e4d007
