id,rank,starInChinese,starInEnglish,name
1,13,Tiankui,Leader Star,Song Jiang
2,13,Tiangang,Strength Star,Lu Junyi
3,13,Tianji,Knowledge Star,Wu Yong
4,13,Tianxian,Leisure Star,Gongsun Sheng
5,13,Tianyong,Brave Star,Guan Sheng
6,13,Tianxiong,Majestic Star,Lin Chong
7,13,Tianmeng,Fierce Star,Qin Ming
8,13,Tianwei,Prestige Star,Huyan Zhuo
9,13,Tianying,Hero Star,Hua Rong
10,13,Tiangui,Noble Star,Chai Jin
11,13,Tianfu,Wealth Star,Li Ying
12,13,Tianman,Fulfillment Star,Zhu Tong
13,13,Tiangu,Solitary Star,Lu Zhishen
14,13,Tianshang,Harm Star,Wu Song
15,13,Tianli,Steadfast Star,Dong Ping
16,13,Tianjie,Agile Star,Zhang Qing
17,13,Tian'an,Dark Star,Yang Zhi
18,13,Tianyou,Guardian Star,Xu Ning
19,13,Tiankong,Flight Star,Suo Chao
20,13,Tiansu,Speed Star,Dai Zong
21,13,Tianyi,Deviance Star,Liu Tang
22,13,Tiansha,Killer Star,Li Kui
23,13,Tianwei,Minute Star,Shi Jin
24,13,Tianjiu,Investigative Star,Mu Hong
25,13,Tiantui,Defence Star,Lei Heng
26,13,Tianshou,Longevity Star,Li Jun
27,13,Tianjian,Sword Star,Ruan Xiaoer
28,13,Tianping,Balance Star,Zhang Heng
29,13,Tianzui,Guilt Star,Ruan Xiaowu
30,13,Tiansun,Damage Star,Zhang Shun
31,13,Tianbai,Defeat Star,Ruan Xiaoqi
32,13,Tianlao,Secure Star,Yang Xiong
33,13,Tianhui,Wisdom Star,Shi Xiu
34,13,Tianbao,Savage Star,Xie Zhen
35,13,Tianku,Crying Star,Xie Bao
36,13,Tianqiao,Skilful Star,Yan Qing
37,14,Dikui,Leader Star,Zhu Wu
38,14,Disha,Malignant Star,Huang Xin
39,14,Diyong,Brave Star,Sun Li
40,14,Dijie,Prominence Star,Xuan Zan
41,14,Dixiong,Magnificent Star,Hao Siwen
42,14,Diwei,Majestic Star,Han Tao
43,14,Diying,Hero Star,Peng Qi
44,14,Diqi,Unique Star,Shan Tinggui
45,14,Dimeng,Fierce Star,Wei Dingguo
46,14,Diwen,Literature Star,Xiao Rang
47,14,Dizheng,Upright Star,Pei Xuan
48,14,Dikuo,Wide Star,Ou Peng
49,14,Dihe,Whole Star,Deng Fei
50,14,Diqiang,Strong Star,Yan Shun
51,14,Di'an,Dark Star,Yang Lin
52,14,Difu,Assist Star,Ling Zhen
53,14,Dihui,Meet Star,Jiang Jing
54,14,Dizuo,Aid Star,Lu Fang
55,14,Diyong,Help Star,Guo Sheng
56,14,Diling,Efficacious Star,An Daoquan
57,14,Dishou,Beast Star,Huangfu Duan
58,14,Diwei,Minute Star,Wang Ying
59,14,Dihui,Bright Star,Hu Sanniang
60,14,Dibao,Savage Star,Bao Xu
61,14,Diran,Correct Star,Fan Rui
62,14,Dichang,Wild Star,Kong Ming
63,14,Dikuang,Crazy Star,Kong Liang
64,14,Difei,Flying Star,Xiang Chong
65,14,Dizou,Walking Star,Li Gun
66,14,Diqiao,Skilful Star,Jin Dajian
67,14,Diming,Bright Star,Ma Lin
68,14,Dijin,Forward Star,Tong Wei
69,14,Ditui,Retreating Star,Tong Meng
70,14,Diman,Full Star,Meng Kang
71,14,Disui,Succeed Star,Hou Jian
72,14,Dizhou,Complete Star,Chen Da
73,14,Diyin,Latent Star,Yang Chun
74,14,Diyi,Different Star,Zheng Tianshou
75,14,Dili,Manage Star,Tao Zongwang
76,14,Dijun,Handsome Star,Song Qing
77,14,Diyue,Music Star,Yue He
78,14,Dijie,Victorious Star,Gong Wang
79,14,Disu,Speed Star,Ding Desun
80,14,Dizhen,Guardian Star,Mu Chun
81,14,Diji,Ji Star,Cao Zheng
82,14,Dimo,Devil Star,Song Wan
83,14,Diyao,Demon Star,Du Qian
84,14,Diyou,Tranquil Star,Xue Yong
85,14,Difu,Concealment Star,Shi En
86,14,Dipi,Remote Star,Li Zhong
87,14,Dikong,Empty Star,Zhou Tong
88,14,Digu,Solitary Star,Tang Long
89,14,Diquan,Complete Star,Du Xing
90,14,Diduan,Short Star,Zou Yuan
91,14,Dijiao,Horn Star,Zou Run
92,14,Diqiu,Prisoner Star,Zhu Gui
93,14,Dicang,Hidden Star,Zhu Fu
94,14,Diping,Level Star,Cai Fu
95,14,Disun,Harm Star,Cai Qing
96,14,Dinu,Slave Star,Li Li
97,14,Dicha,Detective Star,Li Yun
98,14,Di'e,Evil Star,Jiao Ting
99,14,Dichou,Ugly Star,Shi Yong
100,14,Dishu,Number Star,Sun Xin
101,14,Diyin,Yin Star,Gu Dasao
102,14,Dixing,Execute Star,Zhang Qing
103,14,Dizhuang,Strong Star,Sun Erniang
104,14,Dilie,Inferior Star,Wang Dingliu
105,14,Dijian,Healthy Star,Yu Baosi
106,14,Dihao,Rat Star,Bai Sheng
107,14,Dizei,Thief Star,Shi Qian
108,14,Digou,Hound Star,Duan Jingzhu
109,13,Chiju,The Beast Star,Huangfu Duan
110,13,Chima,The Devil Star,Song Wan
111,13,Chishuu,The Ugly Star,Shi Yong
112,13,Chiin,The Shadowy Star,Gu Dasao
113,13,Chikaku,The Corner Star,Zou Run
114,13,Chirei,The Clever Star,An Daoquan
