id,character,cloth,class,rank,affiliation,scheme,artist,constellation,evilStar
78,73,294,14,9,2,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/tezcatlipoca-jaguars%2Fquetzalcoatl-calvera.jpg?alt=media&token=03b9cc1a-e6b4-494d-a7b6-7880c0eed389,,,
333,302,367,14,,2,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/tezcatlipoca-jaguars%2Fyoualtepuztli-nahualpilli.jpg?alt=media&token=24be88b3-2083-46bf-ad48-a7f4dc2990eb,3,,
520,457,338,14,9,2,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/tezcatlipoca-jaguars%2Ftezcatlipoca-wesda.png?alt=media&token=46984207-8f16-40c0-a94d-966aba15cf7c,3,,
93,88,35,10,9,3,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/balor-fairies%2Fbalor-cruaich.jpg?alt=media&token=fcb18090-626b-4069-934d-feb8a3a4a708,12,,
425,383,37,10,,3,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/balor-fairies%2Fbanshee-shelley.jpg?alt=media&token=46a0131e-2812-4d03-ba36-b02f367a1e2e,,,
31,26,,19,9,8,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ra-legionaries%2Fanubis.jpg?alt=media&token=14cc7b63-fcc2-43b2-af8c-b2e17f5b5f4f,,,
35,29,,19,9,8,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ra-legionaries%2Fapophis.jpg?alt=media&token=6ed62239-7a3f-4bbd-9387-92ad30846770,,,
376,348,,19,9,8,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ra-legionaries%2Flegionaries.jpg?alt=media&token=32e6d21e-0bf2-4216-8842-5b225d97a7f9,,,
545,,,19,1,8,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ra-legionaries%2Fra.jpg?alt=media&token=e8b1ef73-9f07-429c-9943-60cbbfc9d12c,,,
42,36,,29,48,10,,,,
39,33,,3,9,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-berserkers%2Fares.jpg?alt=media&token=e109dff3-bc5c-4aef-ad60-0ccae587b7b5,,,
57,51,34,17,47,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fbacchus.png?alt=media&token=d7cd83a6-fae5-4046-8944-e4aa4081e7e4,5,,
65,59,42,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fbeetle-brothers-1.jpg?alt=media&token=3bf2b3bf-a403-4df6-9777-bf32b0c900f0,,,
66,60,43,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fbeetle-brothers-2.jpg?alt=media&token=6385e58a-f989-4615-941f-09c4004395f1,,,
108,101,,3,22,11,,,,
109,102,107,17,47,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fdiana.png?alt=media&token=f63907b1-6422-46d3-af5c-341e8a1f7cae,5,,
193,179,180,3,25,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-berserkers%2Fjamadhar-hema.jpg?alt=media&token=1f26d2d2-8fe3-4e39-9468-d5787a866787,,,
258,232,47,3,25,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-berserkers%2Fbhuj-kokalo.jpg?alt=media&token=40056210-76b3-4fd2-ab78-9d7ac721cd10,,,
267,237,,3,9,11,,,,
288,259,216,17,9,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fmars-ludwig-1.jpg?alt=media&token=c6e29bd2-a70b-4b93-84a4-d2161d86d324,5,,
293,264,217,17,15,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fmartian-commander.png?alt=media&token=8b6c8afa-ce39-437a-9f5d-f8d815b6800f,,,
300,271,,17,20,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fmedea.jpg?alt=media&token=961487e7-4756-4499-ad8e-5001e115e129,,,
344,316,212,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fmantis-ordykia.jpg?alt=media&token=757da9b4-0120-4747-9414-bc2c89fb0cde,5,,
364,336,,3,23,11,,,,
377,349,13,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fant-radzinsky.jpg?alt=media&token=3551b270-d8f6-4178-a498-de8ac84cce70,,,
378,350,325,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fspider-ragno.jpg?alt=media&token=0f14b2bc-e510-496b-a281-b9c67f14f58c,,,
392,364,298,17,47,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fromulus.png?alt=media&token=13c67fd5-6a53-459d-b146-fc864761de76,5,,
400,370,25,8,9,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/eris-dryads%2Fares-saga.jpg?alt=media&token=334cb36e-88ba-4350-a5cd-916984af4e5c,,,
458,403,167,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fhornet-sonia.jpg?alt=media&token=d114507d-0e08-4568-842e-8060aab893bf,,,
518,455,362,17,47,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fvulcanus.png?alt=media&token=62e7d0e2-9c86-4010-9c2b-146ec5f7db6e,5,,
546,,322,17,,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fmartian-soldiers.jpg?alt=media&token=ab2d4eba-10da-48b0-877a-4ed21a616b37,,,
551,,14,17,1,11,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/ares-martians%2Fant-squad-soldier.jpg?alt=media&token=6de0b421-a981-47dc-9c68-3073979012c7,,,
566,,,3,24,11,,,,
567,,,3,23,11,,,,
568,,,3,22,11,,,,
44,38,,23,9,12,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/artemis-satellites%2Fartemis.jpg?alt=media&token=e7365fde-e0b0-458c-9b21-a4ed2e3ca53c,5,,
74,70,,23,15,12,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/artemis-satellites%2Fcallisto.jpg?alt=media&token=8f499a3c-48f7-4d48-ad5c-c1bb848b1103,5,,
190,176,,23,53,12,,,,
277,246,,23,12,12,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/artemis-satellites%2Flascoumoune.jpg?alt=media&token=c152c631-d22b-4d9f-bb11-929c9655016f,5,,
548,,383,23,1,12,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/artemis-satellites%2Fsatellites-1.jpg?alt=media&token=8daaef6d-5ec5-4017-b2da-598d5680e45b,5,,
549,,389,23,1,12,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/artemis-satellites%2Fsatellites-3.jpg?alt=media&token=725281e0-38ed-4aea-a6ce-9a56f0e08478,5,,
582,484,,2,9,13,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/astreia-golden-tribe%2Fastraea.jpg?alt=media&token=bae01853-5c70-44c6-9ad7-4ab6645d5ff7,5,,
583,485,,2,,13,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/astreia-golden-tribe%2Fex.png?alt=media&token=ec602fb1-acf2-4550-b411-8360ef488bcb,5,,
584,486,,2,,13,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/astreia-golden-tribe%2Fmachina.png?alt=media&token=a01db7ea-f6d6-4332-9085-6316d6dee507,5,,
1,1,148,22,7,14,,,38,
3,3,,22,,14,,,,
6,6,83,22,6,14,,,29,
7,7,201,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flotus-aghora.jpg?alt=media&token=a2934adb-2f5d-43d1-b3d1-b472d2b3a9bd,,90,
