id,name,rank,object,artist,constellation
1,Altar Cloth,6,,,
2,Andromeda Cloth V1,5,,,
3,Andromeda Cloth V1 Anime,5,,,
4,Andromeda Cloth V2,5,,,
5,Andromeda Cloth V3,5,,,
6,Andromeda God Cloth,9,,,
7,Apus Cloth,5,,,
8,Aquarius Cloth,7,,,
9,Aquarius God Cloth,9,,,
10,Aquila Cloth,6,,,
11,Aquila Cloth V1 Omega,5,,,
12,Aquila Cloth V2 Omega,5,,,
13,Aquila Omega Cloth,9,,,
14,Ara Cloth,6,,,
15,Aries Cloth,7,,,
16,Aries God Cloth,9,,,
17,Athena God Cloth,9,,,
18,Atrium Cloth,6,,,
19,Auriga Cloth,6,,,
20,Basic Steel Cloth,3,,,
21,Boötes Cloth,6,,,
22,Caelum Cloth,5,,,
23,Camelopardalis Cloth,5,,,
24,Cancer Cloth,7,,,
25,Cancer God Cloth,9,,,
26,Canes Venatici Cloth,6,,,
27,Canis Major Cloth,5,,,
28,Capricorn Cloth,7,,,
29,Capricorn God Cloth,9,,,
30,Carina Cloth,5,,,
31,Cassiopeia Cloth,5,,,
32,Cassiopeia Cloth Saintia,5,,,
33,Centaurus Cloth,6,,,
34,Cepheus Cloth,6,,,
35,Cerberus Cloth,6,,,
36,Cetus Cloth,6,,,
37,Chameleon Cloth,5,,,
38,Circinus Cloth,5,,,
39,Columba Cloth,5,,,
40,Coma Berenice Cloth,5,,,
41,Corona Australis Cloth,5,,,
42,Corona Borealis Cloth,5,,,
43,Corona Borealis Cloth Saintia,5,,,
44,Corvus Cloth,6,,,
45,Crater Cloth,6,,,
46,Crater Cloth Next Dimension,6,,,
47,Crater Cloth Online,6,,,
48,Crux Cloth,6,,,
49,Crystal Cloth,,,,
50,Cygnus Cloth V1,5,,,
51,Cygnus Cloth V1 Anime,5,,,
52,Cygnus Cloth V2,5,,,
53,Cygnus Cloth V3,5,,,
54,Cygnus God Cloth,9,,,
55,Delphinus Cloth Ghost,5,,,
56,Delphinus Cloth,5,,,
57,Delphinus Cloth Saintia,5,,,
58,Dorado Cloth Stone,6,,,
59,Draco Cloth V1,5,,,
60,Draco Cloth V1 Anime,5,,,
61,Draco Cloth V1 Omega,5,,,
62,Draco Cloth V2,5,,,
63,Draco Cloth V2 Omega,5,,,
64,Draco Cloth V3,5,,,
65,Draco Cloth V4,5,,,
66,Draco God Cloth,9,,,
67,Draco Omega Cloth,9,,,
68,Equuleus Cloth,5,,,
69,Equuleus Cloth Saintia,5,,,
70,Equuleus New Cloth,5,,,
71,Eridanus Cloth,5,,,
72,Fornax Cloth,6,,,
73,Gemini Cloth,7,,,
74,Gemini God Cloth,9,,,
75,Ghosts Master Cloth,6,,,
76,Grus Cloth,6,,,
77,Heracles Cloth,6,,,
78,Horologium Cloth,5,,,
79,Hydra Cloth,5,,,
80,Hydrus Cloth,5,,,
81,Indus Cloth,5,,,
82,Jellyfish Cloth,,,,
83,Lacerta Cloth,6,,,
84,Land Cloth,3,,,
85,Leo Cloth,7,,,
86,Leo God Cloth,9,,,
87,Leo Minor Cloth V1 Omega,5,,,
88,Leo Minor Cloth V1 Omega,5,,,
89,Leo Minor Cloth V2 Omega,5,,,
90,Leo Minor Omega Cloth,9,,,
91,Lepus Cloth,6,,,
92,Libra Cloth,7,,,
93,Libra God Cloth,9,,,
94,Lotus Cloth,6,,,
95,Lupus Cloth V1 Omega,5,,,
96,Lupus Cloth V2 Omega,5,,,
97,Lupus Omega Cloth,9,,,
98,Lyra Cloth,6,,,
99,Marine Cloth,3,,,
100,Mensa Cloth,6,,,
101,Monoceros Cloth,5,,,
102,Musca Cloth,6,,,
103,Noctua Cloth,,,,
104,Norma Cloth,5,,,
105,Nu Cloth,6,,,
106,Ophiuchus Cloth,6,,,
107,Ophiuchus Gold Cloth,7,,,
108,Oriolus Silver Cloth,5,,,
109,Orion Cloth,6,,,
110,Orion Cloth V1 Omega,5,,,
111,Orion Cloth V2 Omega,5,,,
112,Pavo Cloth,6,,,
113,Pavo Cloth Saintia,6,,,
114,Pegasus Cloth V1,5,,,
115,Pegasus Cloth V1 Anime,5,,,
116,Pegasus Cloth V1 Omega,5,,,
117,Pegasus Cloth V2,5,,,
118,Pegasus Cloth V2 Omega,5,,,
119,Pegasus Cloth V3,5,,,
120,Pegasus Cloth V4,5,,,
121,Pegasus Cloth V5,5,,,
122,Pegasus God Cloth,9,,,
123,Pegasus Miracles Cloth,5,,,
