id,character,affiliation,armor,class,scheme,artist
1,Abel,14,73,22,,
2,Acting Principal,14,,22,,
3,Aeson,14,45,22,,
4,Aghora,14,94,22,,
5,Aiolia,14,Leo Cloth | Leo God Cloth,22,,
6,Aiolos,14,Sagittarius Cloth,22,,
7,Albafica,14,Pisces Cloth,22,,
8,Aldebaran,14,Taurus Cloth,22,,
9,Alegre,14,Black Whale Cloth,22,,
10,Algethi,14,Hercules Cloth | Hercules Surplice,22,,
11,Algol,14,Perseus Cloth | Persues Surplice,22,,
12,Alicia Mii Benethol,14,Delphinus Cloth,22,,
13,Almaaz,14,Auriga Cloth Stone,22,,
14,Amor,14,Pisces Cloth Stone,22,,
15,Aphrodite,14,Pisces Cloth | Pisces Surplice,22,,
16,Arachne,14,Tarantula Cloth,22,,
17,Archon,14,Sagitta Cloth,22,,
18,Argo,14,Volans Cloth Stone,22,,
19,Aria,14,null,22,,
20,Arne,14,Lepus Cloth Stone,22,,
21,Asmita,14,Virgo Cloth,22,,
22,Aspros,14,Gemini Cloth | Gemini Surplice,22,,
23,Asterion,14,Hound Cloth,22,,
24,Atla,14,null,22,,
25,Atlas,14,Carina Corona Cloth,22,,
26,Avenir,14,Aries Cloth,22,,
27,Babel,14,Centaurus Cloth | Centaurus Surplice,22,,
28,Balazo,14,Reticulum Cloth Stone,22,,
29,Ban,14,Lionet Cloth,22,,
30,Bartsch,14,Camelopardalis Cloth Stone,22,,
31,Bayer,14,Boötes Cloth Stone,22,,
32,Berengue,14,Coma Corona Cloth,22,,
33,Bleriot,14,Lionet Cloth,22,,
34,Cain,14,Gemini Cloth,22,,
35,Camus,14,Aquarius Cloth | Aquarius God Cloth | Aquarius Surplice,22,,
36,Capella,14,Auriga Cloth | Auriga Surplice,22,,
37,Cardinale,14,Pisces Cloth,22,,
38,Cassios,14,null,22,,
39,Celeris,14,Equuleus Cloth Stone,22,,
40,Christ,14,Crux Cloth,22,,
41,Crystal Saint,14,Crystal Cloth,22,,
42,Curtis,14,Hydra Cloth,22,,
43,Daichi,14,Land Cloth,22,,
44,Dali,14,Northern Crown Cloth Stone,22,,
45,Dante,14,Cerberus Cloth | Cerberus Surplice,22,,
46,Deathmask,14,Cancer Cloth | Punishment Leaf | Cancer Surplice,22,,
47,Deathtoll,14,Cancer Cloth,22,,
48,Defteros,14,Gemini Cloth,22,,
49,Degel,14,Aquarius Cloth,22,,
50,Dio,14,Musca Cloth | Musca Surplice,22,,
51,Docrates,14,null,22,,
52,Dohko,14,Libra Cloth,22,,
53,Don Avido,14,Black Altar Cloth,22,,
54,Dorer,14,Cerberus Cloth Stone,22,,
55,Douglas,14,Bear Cloth,22,,
56,Eden,14,Orion Cloth Stone | Orion New Cloth | Orion Omega Cloth | Club (Impulse Mace Chronotector),22,,
57,El Cid,14,Capricorn Cloth,22,,
58,Elda,14,Cassiopeia Cloth,22,,
59,Emma,14,Basic Steel Cloth,22,,
60,Ennead,14,Scutum Cloth Stone,22,,
61,Erna,14,Basic Steel Cloth,22,,
62,Escarlate,14,Scorpio Cloth,22,,
63,Felser,14,Black Terror,22,,
64,Fly,14,Musca Cloth Stone,22,,
65,Francisca,14,Taurus Cloth,22,,
66,Fudou,14,Virgo Cloth Stone,22,,
67,Fukuryu,14,Black Dragon Cloth,22,,
68,Galarian Steiner,14,null,22,,
69,Gangsa,14,null,22,,
70,Gateguard,14,Aries Cloth,22,,
71,Geist,14,Geist Cloth,22,,
72,Geki,14,Bear Cloth,22,,
73,Genbu,14,Libra Cloth Stone,22,,
74,Georg,14,Southern Cross Cloth,22,,
75,Georges,14,null,22,,
76,Gestalt,14,Sagittarius Cloth,22,,
77,Gigas,14,null,22,,
78,Gioca,14,null,22,,
79,Gray,14,Columba Cloth Stone,22,,
80,Guilty,14,null,22,,
81,Guney,14,Delphinus Cloth Stone,22,,
82,Hakurei,14,null,22,,
83,Harbinger,14,Taurus Cloth Stone,22,,
84,Haruto,14,Wolf Cloth Stone | Wolf New Cloth | Wolf Omega Cloth,22,,
85,Hasgard,14,Taurus Cloth,22,,
86,Hook,14,Compass Cloth Stone,22,,
87,Hyoga,14,Cygnus Cloth | Cygnus New Cloth | Cygnus Plain Cloth | Cygnus Kamui Cloth | Midgard God Robe,22,,
88,Ichi,14,Hydra Cloth,22,,
89,Ikki,14,Phoenix Cloth | Phoenix New Cloth | Phoenix Plain Cloth | Phoenix Kamui Cloth,22,,
90,Ilias,14,Leo Cloth,22,,
91,Ionia,14,Capricorn Cloth Stone,22,,
92,Isaak,14,Kraken Scale,22,,
93,Itia,14,Libra Cloth,22,,
94,Izo,14,Capricorn Cloth,22,,
95,Jabu,14,Unicorn Cloth,22,,
96,Jaga,14,Orion Cloth,22,,
97,Jaki,14,null,22,,
98,Jamian,14,Crow Cloth,22,,
99,Jan,14,Scutum Cloth,22,,
100,Jango,14,null,22,,
101,Jao,14,Lynx Cloth,22,,
102,Jid,14,Black Swan Cloth,22,,
103,Johan,14,Crow Cloth Stone,22,,
104,Juan,14,Scutum Cloth,22,,
105,Judo,14,Black Hound Cloth,22,,
106,June,14,Chameleon Cloth,22,,
107,Junkers,14,Wolf Cloth,22,,
108,Kaiser,14,Leo Cloth,22,,
109,Kanon,14,Sea Dragon Scale | Gemini Cloth,22,,
110,Kardia,14,Scorpio Cloth,22,,
111,Katya,14,Northern Crown Cloth,22,,
112,Kazuma,14,Southern Cross Cloth Stone,22,,
113,Kenuma,14,Black Pegasus Cloth,22,,
114,Kerry,14,Basic Steel Cloth,22,,
115,Kiki,14,Aries Cloth Stone,22,,
116,Kitalpha,14,Equuleus Cloth Stone,22,,
117,Komachi,14,Crane Cloth Stone,22,,
118,Kouga,14,Pegasus Cloth Stone | Pegasus New Cloth | Pegasus Omega Cloth | Pegasus Ultimate Omega Cloth,22,,
119,Krest,14,Aquarius Cloth | Koh-i-Noor,22,,
120,Kyoko,14,Equuleus Cloth,22,,
121,Lacaille,14,Puppis Cloth,22,,
122,Lancelot,14,Cancer Cloth | Cancer God Cloth,22,,
123,Leda,14,,22,,
124,Lei-Hu,14,,22,,
125,Lemargos,14,Black Heracles Cloth,22,,
126,Luciano,14,Norma Cloth Stone,22,,
127,Lugonis,14,Pisces Cloth,22,,
128,Manigold,14,Cancer Cloth,22,,
129,Marin,14,Eagle Cloth,22,,
130,Maya,14,Sagitta Cloth,22,,
131,Mayura,14,Pavo Cloth,22,,
132,Mei,14,null,22,,
133,Menkar,14,Whale Cloth Stone,22,,
134,Michelangelo,14,Caelum Cloth Stone,22,,
135,Miguel,14,Hound Cloth Stone,22,,
136,Milo,14,Scorpio Cloth,22,,
137,Mine,14,null,22,,
138,Mirai,14,null,22,,
139,Mirapolos,14,Lynx Cloth Stone,22,,
140,Mirfak,14,Perseus Cloth Stone,22,,
141,Misty,14,Lizard Cloth | Lizard Surplice,22,,
142,Mito,14,null,22,,
143,Mouses,14,Whale Cloth | Whale Surplice,22,,
144,Mu,14,Aries Cloth | Aries God Cloth,22,,
145,Mycenae,14,Leo Cloth,22,,
146,Mystoria,14,Aquarius Cloth,22,,
147,Nachi,14,Wolf Cloth,22,,
148,Nicole,14,Altar Cloth,22,,
149,Noesis,14,Triangulum Cloth,22,,
150,Odysseus,14,Ophiuchus Silver Cloth | Ophiuchus Gold Cloth,22,,
151,Ohko,14,null,22,,
152,Orphée,14,Lyra Cloth,22,,
153,Orpheus,14,Lyra Cloth,22,,
154,Ox,14,Taurus Cloth,22,,
155,Pakia,14,null,22,,
