id,debut
1,"Chapter 102,  OVA 27"
2,EpG: Volume # 17 -  Chapter 72
3,Episode G
4,Episode G: Gaiden - Aiolos
5,Heaven Chapter: Overture
6,Hipermito
7,Knights of Zodiac Netflix
8,LC: Chapter 13 - OVA 4
9,LCG: Chapter 72
10,Next Dimension - Vol.2 / Cap. 15
11,Saint Seiya
12,Saint Seiya Omega: Episode 48
13,Saint Seiya Online
14,Saint Seiya: Episode G - Assassin - Chapter 1
15,Saint Seiya: Episode G - Assassin - Chapter 33
16,Saint Seiya: Legend of Crimson Youth.
17,Saint Seiya: Soul of Gold
18,Saint Seiya: The Movie
19,SS: Chapter 69
20,SS: Episode 117 (Chapter Sanctuary OVA 3)
21,The Lost Canvas Gaiden 2: Kardia
22,TLC Gaiden 5: Chapter 39
23,TLC Gaiden 5: Chapter 40
24,TLC Gaiden 8: Chapter 54
25,TLC: Chapter 11
26,TLC: Chapter 11 - Episode 3
27,TLC: Chapter 31 / Episode 8
28,"TLC: Chapter 36, Episode 9"
29,TLC: Chapter 57 | Episode 15
