id,name,gender,people,occupation
1,Quetzalcoatl,0,Aztec,"god of wind, air, and learning"
2,Tezcatlipoca,0,Aztec,"god of night sky, moon and stars"
3,Balor,0,Irish,king of the Fomorians
4,Ethlinn,1,Irish,daughter of the Fomorian leader Balor
5,Lugh,0,Irish,god of light
6,Anubis,0,Egyptian,"god of death, mummification, embalming, the afterlife, cemeteries, tombs, and the Underworld"
7,Apophis,1,Egyptian,goddess of chaos and darkness
8,Ra,0,Egyptian,god of the sun
9,Abel,0,Greek / Roman,fictional god of the sun
10,Apollo,0,Greek / Roman,god of the sun
11,Ares,0,Greek / Roman,god of war
12,Artemis,1,Greek / Roman,"goddess of the hunt, the wilderness, wild animals, the Moon, and chastity"
13,Astraea,1,Greek / Roman,"goddess of justice, innocence, purity and precision"
14,Athena,1,Greek / Roman,"goddess associated with wisdom, handicraft and war"
15,Eris,1,Greek / Roman,goddess of strife and discord
16,Hades,0,Greek / Roman,god of the dead and the king of the underworld
17,Ker,1,Greek / Roman,god of fatality and violent death
18,Thanatos,0,Greek / Roman,personification of death
19,Hypnos,0,Greek / Roman,personification of sleep
20,Icelus,0,Greek / Roman,god of dream
21,Morpheus,0,Greek / Roman,god of dream
22,Oneiros,0,Greek / Roman,god of dream
23,Phobetor,0,Greek / Roman,god of dream
24,Phantasos,0,Greek / Roman,god of dream
25,Poseidon,0,Greek / Roman,"god of the sea, storms, earthquakes and horses."
26,Pallas,1,Greek / Roman,godess of love and tragedy
27,Persephone,1,Greek / Roman,"goddess of spring, nature and underworld"
28,Kairos,0,Greek / Roman,fictional god of time
29,Zeus,0,Greek / Roman,"god of the sky, lightning, thunder, law, order and justice"
30,Amaterasu,1,Japanese,goddess of the sun
31,Susanoo,0,Japanese,god of storms and the sea
32,Tsukuyomi,0,Japanese,god of the moon
33,Loki,0,Nordic,god of cheating and mischief
34,Odin,0,Nordic,"god of war, wisdom, magic and poetry"
35,Lamech,0,,god of nothing
36,Apsu,0,Sumerian,god of darkness
