id,rank,name,englishStar,name
1,5,Tenkai,Star Chief Star of Heaven,Song Jiang
2,5,Tengou,Star of Conflagration,Lu Junyi
3,5,Tenki,Star of Wisdom,Wu Yong
4,5,Tenkan,Star of Idleness,Gongsun Sheng
5,5,Ten'yuu,Star of Bravery,Guan Sheng
6,5,Ten'yuu,Star of Heroic Ferocity,Lin Chong
7,5,Tenmou,Star of Swift Courage,Qin Ming
8,5,Ten'i,Star of Majesty,Huyan Zhuo
9,5,Ten'ei,Heroic Star,Hua Rong
10,5,Ten'ei,Lofty Star,Chai Jin
11,5,Tenfu,Star of Wealth,Li Ying
12,5,Tenman,Star of Abundance,Zhu Tong
13,5,Tenko,Lone Star,Lu ZhishenLu Zhishen
14,5,Tenshou,Wounded Star,Wu Song
15,5,Tenritsu,Star of the Standing Spear,Dong Ping
16,5,Tenshou,The Swift Star,Zhang Qing
17,5,Ten'an,Dark Star,Yang Zhi
18,5,Ten'yuu,Guardian Star,Yang Zhi
19,5,Tenkuu,Empty Star,Suo Chao
20,5,Tensoku,Speedy Star,Dai Zong
21,5,Ten'i,Strange Star,Liu Tang
22,5,Tensatsu,Murderous Star,Li Kui
23,5,Tenbi,Lowly Star,Shi Jin
24,5,Tenkyuu,Lewd Star,Mu Hong
25,5,Tentai,Retreating Star,Lei Heng
26,5,Tenju,Star of Longevity,Li Jun
27,5,Tenken,Dagger Star,Ruan Xiaoer
28,5,Tenhei,Leveled Star,Zhang Shun
29,5,Tenzai,Star of Sin,Ruan Xiaowu
30,5,Tenson,Broken Star,Zhang Heng
31,5,Tenpai,The Vanquished Star,Ruan Xiaoqi
32,5,Tenrou,The Goal Star,Yang Xiong
33,5,Tensui,Star of Intelligence,Shi Xiu
34,5,Tenbou,Savage Star,Xie Zhen
35,5,Tenkoku,Wailing Star,Xie Bao
36,5,Tenkou,Clever Star,Yan Qing
37,6,Chikai,Chief Star of Earth,Zhu Wu
38,6,Chisatsu,Violent Star,Huang Xin
39,6,Chiyuu,The Brave Star,Sun Li
40,6,Chiketsu,Star of Noble Wisdom,Xuan Zan
41,6,Chiyuu,The Heroic Star,Hao Siwen
42,6,Chii,The Majestic Star,Han Tao
43,6,Chiei,Star of Courage,Peng Qi
44,6,Chiki,The Strange Star,Shan Tinggui
45,6,Chimou,The Ferocious Star,Wei Dingguo
46,6,Chibun,The Learned Star,Xiao Rang
47,6,Chisei ,The Guileless Star,Pei Xuan
48,6,Chikatsu,The Eminent Star,Ou Peng
49,6,Chitou,The Folding Star,Deng Fei
50,6,Chikyou,The Strong Star,Yan Shun
51,6,Chian,The Dark Star,Yang Lin
52,6,Chiziku,The Axis Star,Ling Zhen
53,6,Chikai,The Star of Gathering,Jiang Jing
54,6,Chisa,The Aiding Star,Lü Fang
55,6,Chiyou,The Helpful Star,Guo Sheng
56,6,Chirei,The Clever Star,An Daoquan
57,6,Chiju,The Beast Star,Huangfu Duan
58,6,Chibi,The Least Star,Wang Ying
59,6,Chikyu,The Intelligent Star,Hu San Niang
60,6,Chibaku,The Barbarous Star,Bao Xu
61,6,Chizen,The Silent Star,Fan Rui
62,6,Chikou,The Wild Star,Kong Ming
63,6,Chikyou,The Star of Ambition,Kong Liang
64,6,Chihi,The Flying Star,Xiang Chong
65,6,Chisou,The Walking Star,Li Gun
66,6,,The Cunning Star,Jin Dajian
67,6,Chimei,The Clear Star,Ma Lin
68,6,Chisin,The Forward Star,Tong Wei
69,6,Chitai,The Retreating Star,Tong Meng
70,6,Chiman,The Full Star,Meng Kang
71,6,Chisui,The Fulfilled Star,Hou Jian
72,6,Chishuu,The Complete Star,Chen Da
73,6,Chiin,The Hidden Star,Yang Chun
74,6,Chii,The Peculiar Star,Zheng Tianshou
75,6,Chiri,The Star of Justice,Tao Zongwang
76,6,Chisyun,The Elegant Star,Song Qing
77,6,Chiraku,The Star of Music,Yue He
78,6,Chitatsu ,The Quick Star,Gong Wang
79,6,Chisoku,The Star of Haste,Ding Desun
80,6,Chichin,The Supressing Star,Mu Chun
81,6,Chikei,The Halted Star,Cao Zheng
82,6,Chima,The Devil Star,Song Wan
83,6,Chiyou,The Magic Star,Du Qian
84,6,Chiyuu,The Obscure Star,Xue Yong
85,6,Chifuku,The Hiding Star,Shi En
86,6,Chihi,The Orphan Star,Li Zhong
87,6,Chikuu,The Empty Star,Zhou Tong
88,6,Chiko,The Lonely Star,Tang Long
89,6,Chizen,The Finished Star,Du Xing
90,6,Chitan,The Short Star,Zou Yuan
91,6,Chikaku ,The Corner Star,Zou Run
92,6,Chishuu,The Prisoned Star,Zhu Gui
93,6,Chizou,The Hoarding Star,Zhu Fu
94,6,Chihei,The Smooth Star,Cai Fu
95,6,Chison,The Wounded Star,Cai Qing
96,6,Chido,The Serving Star,Li Li
97,6,Chisatsu,The Searching Star,Li Yun
98,6,Chiaku,The Fierce Star,Jiao Ting
99,6,Chishuu,The Ugly Star,Shi Yong
100,6,Chisu,The Mathematic Star,Sun Xin
101,6,Chiin,The Shadowy Star,Gu Dasao
102,6,Chikei,The Avenging Star,Zhang Qing
103,6,Chisou,The Strong Star,Sun Erniang
104,6,Chiretsu,The Inferior Star,Wang Dingliu
105,6,Chiken,The Mighty Star,Yu Baosi
106,6,Chimou,The Rat Star,Bai Sheng
107,6,Chizoku,The Thieving Star,Shi Qian
108,6,Chikou,The Dog Star,Duan Jingzhu
