id,name,rank,object,artist
1,Acheron Surplice,4,/images/cloth-scheme/specters/objects,1
2,Alraune Surplice,110,/images/cloth-scheme/specters/objects,
3,Balron Surplice,8,/images/cloth-scheme/specters/objects,
4,Baphomet Surplice,,/images/cloth-scheme/specters/objects,
5,Basilisk Surplice,16,/images/cloth-scheme/specters/objects,
6,Bat Surplice,97,/images/cloth-scheme/specters/objects,
7,Behemoth Surplice,13,/images/cloth-scheme/specters/objects,
8,Bennu Surplice,34,/images/cloth-scheme/specters/objects,
9,Cait Sith Surplice,56,/images/cloth-scheme/specters/objects,
10,Cetus Surplice,28,/images/cloth-scheme/specters/objects,
11,Cyclops Surplice,60,/images/cloth-scheme/specters/objects,
12,Deadly Beetle Surplice,111,/images/cloth-scheme/specters/objects,
13,Deadly Harlequin,48,/images/cloth-scheme/specters/objects,
14,Deep Surplice,51,/images/cloth-scheme/specters/objects,
15,Dryad Surplice,15,/images/cloth-scheme/specters/objects,
16,Dullahan Surplice,101,/images/cloth-scheme/specters/objects,
17,Elf Surplice,104,/images/cloth-scheme/specters/objects,
18,Executioner Surplice,,/images/cloth-scheme/specters/objects,
19,Frog Surplice,44,/images/cloth-scheme/specters/objects,
20,Gargoyle,,/images/cloth-scheme/specters/objects,
21,Garuda Surplice,6,/images/cloth-scheme/specters/objects,1
22,Genbu Surplice,25,/images/cloth-scheme/specters/objects,
23,Hades God Surplice,God,/images/cloth-scheme/specters/objects,
24,Hypnos God Surplice,God,/images/cloth-scheme/specters/objects,
25,Icelus God Surplice,God,/images/cloth-scheme/specters/objects,
26,Ker God Surplice,God,,
27,Morpheus God Surplice,God,/images/cloth-scheme/specters/objects,
28,Oneiros God Surplice,God,/images/cloth-scheme/specters/objects,
29,Persephone God Surplice,God,/images/cloth-scheme/specters/objects,
30,Phantasos God Surplice,God,/images/cloth-scheme/specters/objects,
31,Phobetor God Surplice,God,/images/cloth-scheme/specters/objects,
32,Thanatos God Surplice,God,/images/cloth-scheme/specters/objects,
33,Golem Surplice,113,/images/cloth-scheme/specters/objects,
34,Gorgon Surplice,65,/images/cloth-scheme/specters/objects,
35,Griffon Surplice,10,/images/cloth-scheme/specters/objects,
36,Hanuman Surplice,36,/images/cloth-scheme/specters/objects,
37,Harpy Surplice,35,/images/cloth-scheme/specters/objects,
38,Leech Surplice,,/images/cloth-scheme/specters/objects,
39,Lycaon Surplice,29,/images/cloth-scheme/specters/objects,
40,Mandrake Surplice,14,/images/cloth-scheme/specters/objects,
41,Mephistopheles Surplice,1,/images/cloth-scheme/specters/objects,
42,Minotaur Surplice,32,/images/cloth-scheme/specters/objects,
43,Morax Surplice,,/images/cloth-scheme/specters/objects,
44,Nasu Surplice,24,/images/cloth-scheme/specters/objects,
45,Necromancer Surplice,114,/images/cloth-scheme/specters/objects,
46,Papillon Surplice,83,/images/cloth-scheme/specters/objects,
47,Skeleton Surplice,,/images/cloth-scheme/specters/objects,
48,Sphynx Surplice,109,/images/cloth-scheme/specters/objects,
49,Sylph Surplice,64,/images/cloth-scheme/specters/objects,
50,Troll Surplice,31,/images/cloth-scheme/specters/objects,
51,Upyr Surplice,92,/images/cloth-scheme/specters/objects,
52,Vampire Surplice,26,/images/cloth-scheme/specters/objects,
53,Worm Surplice,85,/images/cloth-scheme/specters/objects,
54,Wyvern Surplice,7,/images/cloth-scheme/specters/objects,1
