id,name,rank,object,artist
1,Alchemy Glove Chronotector,,,
2,Brionac (Spear Chronotector),,,
3,Chakram (Slash Reaper Chronotector),,,
4,Claw (Max Brilliants Chronotector),,,
5,Claw (Max Brilliants Chronotector),,,
6,Club (Impulse Mace Chronotector),,,
7,Daggers Chronotector,,,
8,Deadly Scythe (Soul Killer Chronotector),,,
9,Deadly Scythe (Soul Killer Chronotector),,,
10,Deathwatch Chronotector,,,
11,Gae Bolg (Servant Chronotector),,,
12,Gauntlet (Phantom Arm Chronotector),,,
13,Saturn Chronotector,God,,
14,Hammer (Demon Impact Chronotector),,,
15,Morning Star (Star Crusher Chronotector),,,
16,Mystic Stone Chronotector,,,
17,Pallas Chronotector,God,,
18,Staff (Scarlet Janus Chronotector),,,
19,Sword of Creation (Genesis Chronotector),First Class,,
20,Sword of Destruction (Destruction Chronotector),First Class,,
21,Sword of Thunder (Graviton Chronotector),First Class,,
22,Sword of War (Photon Chronotector),First Class,,
23,Triple Rod Chronotector,,,
24,Whip (Snake Plasma Chronotector),,,
