id,name
1,Soldier
2,Apprentice
3,Steel
4,Black
5,Bronze
6,Silver
7,Gold
8,Pope
9,God
10,Goddess
11,Omega
12,Captain
13,Celestial Star
14,Terrestrial Star
15,Commander
16,Corona
17,Fallen Angel
18,General
19,Gladiator
20,High Priest
21,Leader
22,Legion of the Disaster
23,Legion of the Fear
24,Legion of the Fire
25,Legion of the Flame
26,Priest
27,Principal
28,Host
29,Reincarnation
30,Personification
31,Representative
32,First Class
33,Second Class
34,Third Class
35,Vice Principal
36,High Martian
37,Blue Warrior
38,Alpha Star
39,Beta Star
40,Gamma Star
41,Delta Star
42,Epsilon Star
43,Zeta Star
44,Eta Star
45,Automaton
46,Undead
47,Heavenly King
48,Pythia
49,Ressurected Saint
50,The Indestructible Sacred Sword
51,The Sacred Sword of Anger
52,The Sacred Sword of Betrayal
53,Witch
54,Seventh Fuji Ninja
55,Martial arts expert
