id,name,constellation,object,artist,rank
,Land Cloth,,/images/cloth-scheme/saints/objects,,8
,Sky Cloth,,/images/cloth-scheme/saints/objects,,8
,Marine Cloth,,/images/cloth-scheme/saints/objects,,8
,Subaru Cloth,,/images/cloth-scheme/saints/objects,,8
,Emma Cloth,,/images/cloth-scheme/saints/objects,,8
,Erna Cloth,,/images/cloth-scheme/saints/objects,,8
,Kerry Cloth,,/images/cloth-scheme/saints/objects,,8
,Andromeda Bronze Version 1,,,,
,Andromeda Bronze Version 2,,,,
,Andromeda Bronze Version 3,,,,
,Andromeda God,,,,
,Apus Bronze Omega,,,,
,Aquarius Gold,,,,
,Aquarius Gold Omega,,,,5
,Aquarius God,,,,5
,Aquila Bronze Version 1 Omega,,,,5
,Aquila Bronze Version 2 Omega,,,,5
,Ara Silver,,,,5
,Ara Silver The Lost Canvas,,,,
,Lepus Omega,,,,1
