id,character,cloth,class,rank,affiliation,scheme,artist
1,Abel,73,22,,14,,
2,Acting Principal,,22,,14,,
3,Aeson,45,22,,14,,
4,Aghora,94,22,,14,,
5,Aiolia,Leo Cloth | Leo God Cloth,22,,14,,
6,Aiolos,Sagittarius Cloth,22,,14,,
7,Albafica,Pisces Cloth,22,,14,,
8,Aldebaran,Taurus Cloth,22,,14,,
9,Alegre,Black Whale Cloth,22,,14,,
10,Algethi,Hercules Cloth | Hercules Surplice,22,,14,,
11,Algol,Perseus Cloth | Persues Surplice,22,,14,,
12,Alicia Mii Benethol,Delphinus Cloth,22,,14,,
13,Almaaz,Auriga Cloth Stone,22,,14,,
14,Amor,Pisces Cloth Stone,22,,14,,
15,Aphrodite,Pisces Cloth | Pisces Surplice,22,,14,,
16,Arachne,Tarantula Cloth,22,,14,,
17,Archon,Sagitta Cloth,22,,14,,
18,Argo,Volans Cloth Stone,22,,14,,
19,Aria,null,22,,14,,
20,Arne,Lepus Cloth Stone,22,,14,,
21,Asmita,Virgo Cloth,22,,14,,
22,Aspros,Gemini Cloth | Gemini Surplice,22,,14,,
23,Asterion,Hound Cloth,22,,14,,
24,Atla,null,22,,14,,
25,Atlas,Carina Corona Cloth,22,,14,,
26,Avenir,Aries Cloth,22,,14,,
27,Babel,Centaurus Cloth | Centaurus Surplice,22,,14,,
28,Balazo,Reticulum Cloth Stone,22,,14,,
29,Ban,Lionet Cloth,22,,14,,
30,Bartsch,Camelopardalis Cloth Stone,22,,14,,
31,Bayer,Boötes Cloth Stone,22,,14,,
32,Berengue,Coma Corona Cloth,22,,14,,
33,Bleriot,Lionet Cloth,22,,14,,
34,Cain,Gemini Cloth,22,,14,,
35,Camus,Aquarius Cloth | Aquarius God Cloth | Aquarius Surplice,22,,14,,
36,Capella,Auriga Cloth | Auriga Surplice,22,,14,,
37,Cardinale,Pisces Cloth,22,,14,,
38,Cassios,null,22,,14,,
39,Celeris,Equuleus Cloth Stone,22,,14,,
40,Christ,Crux Cloth,22,,14,,
41,Crystal Saint,Crystal Cloth,22,,14,,
42,Curtis,Hydra Cloth,22,,14,,
43,Daichi,Land Cloth,22,,14,,
44,Dali,Northern Crown Cloth Stone,22,,14,,
45,Dante,Cerberus Cloth | Cerberus Surplice,22,,14,,
46,Deathmask,Cancer Cloth | Punishment Leaf | Cancer Surplice,22,,14,,
47,Deathtoll,Cancer Cloth,22,,14,,
48,Defteros,Gemini Cloth,22,,14,,
49,Degel,Aquarius Cloth,22,,14,,
50,Dio,Musca Cloth | Musca Surplice,22,,14,,
51,Docrates,null,22,,14,,
52,Dohko,Libra Cloth,22,,14,,
53,Don Avido,Black Altar Cloth,22,,14,,
54,Dorer,Cerberus Cloth Stone,22,,14,,
55,Douglas,Bear Cloth,22,,14,,
56,Eden,Orion Cloth Stone | Orion New Cloth | Orion Omega Cloth | Club (Impulse Mace Chronotector),22,,14,,
57,El Cid,Capricorn Cloth,22,,14,,
58,Elda,Cassiopeia Cloth,22,,14,,
59,Emma,Basic Steel Cloth,22,,14,,
60,Ennead,Scutum Cloth Stone,22,,14,,
61,Erna,Basic Steel Cloth,22,,14,,
62,Escarlate,Scorpio Cloth,22,,14,,
63,Felser,Black Terror,22,,14,,
64,Fly,Musca Cloth Stone,22,,14,,
65,Francisca,Taurus Cloth,22,,14,,
66,Fudou,Virgo Cloth Stone,22,,14,,
67,Fukuryu,Black Dragon Cloth,22,,14,,
68,Galarian Steiner,null,22,,14,,
69,Gangsa,null,22,,14,,
70,Gateguard,Aries Cloth,22,,14,,
71,Geist,Geist Cloth,22,,14,,
72,Geki,Bear Cloth,22,,14,,
73,Genbu,Libra Cloth Stone,22,,14,,
74,Georg,Southern Cross Cloth,22,,14,,
75,Georges,null,22,,14,,
76,Gestalt,Sagittarius Cloth,22,,14,,
77,Gigas,null,22,,14,,
78,Gioca,null,22,,14,,
79,Gray,Columba Cloth Stone,22,,14,,
80,Guilty,null,22,,14,,
81,Guney,Delphinus Cloth Stone,22,,14,,
82,Hakurei,null,22,,14,,
83,Harbinger,Taurus Cloth Stone,22,,14,,
84,Haruto,Wolf Cloth Stone | Wolf New Cloth | Wolf Omega Cloth,22,,14,,
85,Hasgard,Taurus Cloth,22,,14,,
86,Hook,Compass Cloth Stone,22,,14,,
87,Hyoga,Cygnus Cloth | Cygnus New Cloth | Cygnus Plain Cloth | Cygnus Kamui Cloth | Midgard God Robe,22,,14,,
88,Ichi,Hydra Cloth,22,,14,,
89,Ikki,Phoenix Cloth | Phoenix New Cloth | Phoenix Plain Cloth | Phoenix Kamui Cloth,22,,14,,
90,Ilias,Leo Cloth,22,,14,,
91,Ionia,Capricorn Cloth Stone,22,,14,,
92,Isaak,Kraken Scale,22,,14,,
93,Itia,Libra Cloth,22,,14,,
94,Izo,Capricorn Cloth,22,,14,,
95,Jabu,Unicorn Cloth,22,,14,,
96,Jaga,Orion Cloth,22,,14,,
97,Jaki,null,22,,14,,
98,Jamian,Crow Cloth,22,,14,,
99,Jan,Scutum Cloth,22,,14,,
100,Jango,null,22,,14,,
101,Jao,Lynx Cloth,22,,14,,
102,Jid,Black Swan Cloth,22,,14,,
103,Johan,Crow Cloth Stone,22,,14,,
104,Juan,Scutum Cloth,22,,14,,
105,Judo,Black Hound Cloth,22,,14,,
106,June,Chameleon Cloth,22,,14,,
107,Junkers,Wolf Cloth,22,,14,,
108,Kaiser,Leo Cloth,22,,14,,
109,Kanon,Sea Dragon Scale | Gemini Cloth,22,,14,,
110,Kardia,Scorpio Cloth,22,,14,,
111,Katya,Northern Crown Cloth,22,,14,,
112,Kazuma,Southern Cross Cloth Stone,22,,14,,
113,Kenuma,Black Pegasus Cloth,22,,14,,
114,Kerry,Basic Steel Cloth,22,,14,,
115,Kiki,Aries Cloth Stone,22,,14,,
116,Kitalpha,Equuleus Cloth Stone,22,,14,,
117,Komachi,Crane Cloth Stone,22,,14,,
118,Kouga,Pegasus Cloth Stone | Pegasus New Cloth | Pegasus Omega Cloth | Pegasus Ultimate Omega Cloth,22,,14,,
119,Krest,Aquarius Cloth | Koh-i-Noor,22,,14,,
120,Kyoko,Equuleus Cloth,22,,14,,
121,Lacaille,Puppis Cloth,22,,14,,
122,Lancelot,Cancer Cloth | Cancer God Cloth,22,,14,,
123,Leda,,22,,14,,
124,Lei-Hu,,22,,14,,
125,Lemargos,Black Heracles Cloth,22,,14,,
126,Luciano,Norma Cloth Stone,22,,14,,
127,Lugonis,Pisces Cloth,22,,14,,
128,Manigold,Cancer Cloth,22,,14,,
129,Marin,Eagle Cloth,22,,14,,
130,Maya,Sagitta Cloth,22,,14,,
131,Mayura,Pavo Cloth,22,,14,,
132,Mei,null,22,,14,,
133,Menkar,Whale Cloth Stone,22,,14,,
134,Michelangelo,Caelum Cloth Stone,22,,14,,
135,Miguel,Hound Cloth Stone,22,,14,,
136,Milo,Scorpio Cloth,22,,14,,
137,Mine,null,22,,14,,
138,Mirai,null,22,,14,,
139,Mirapolos,Lynx Cloth Stone,22,,14,,
140,Mirfak,Perseus Cloth Stone,22,,14,,
141,Misty,Lizard Cloth | Lizard Surplice,22,,14,,
142,Mito,null,22,,14,,
143,Mouses,Whale Cloth | Whale Surplice,22,,14,,
144,Mu,Aries Cloth | Aries God Cloth,22,,14,,
145,Mycenae,Leo Cloth,22,,14,,
146,Mystoria,Aquarius Cloth,22,,14,,
147,Nachi,Wolf Cloth,22,,14,,
148,Nicole,Altar Cloth,22,,14,,
149,Noesis,Triangulum Cloth,22,,14,,
150,Odysseus,Ophiuchus Silver Cloth | Ophiuchus Gold Cloth,22,,14,,
151,Ohko,null,22,,14,,
152,Orphée,Lyra Cloth,22,,14,,
153,Orpheus,Lyra Cloth,22,,14,,
154,Ox,Taurus Cloth,22,,14,,
155,Pakia,null,22,,14,,
156,Paradise,Apus Cloth Stone,22,,14,,
157,Paradox,Gemini Cloth Stone | Staff (Scarlet Janus Chronotector),22,,14,,
158,Partita,Owl Cloth | Owl Surplice,22,,14,,
159,Phaeton,null,22,,14,,
160,Plavin,Peacock Cloth Stone,22,,14,,
161,Ptolemy,Sagitta Cloth,22,,14,,
162,Raki,null,22,,14,,
163,Regulus,Leo Cloth,22,,14,,
164,Retsu,Lynx Cloth,22,,14,,
165,Rigel | Algea,Orion Cloth | Pain Leaf,22,,14,,
166,Ritahoa,Black Phoenix,22,,14,,
167,Rodorio,Pegasus Cloth,22,,14,,
168,Rudolph,Reindeer Cloth Stone,22,,14,,
169,Ruse,Black Crow Cloth,22,,14,,
170,Rusk,Pyxis Cloth,22,,14,,
171,Ryuho,Dragon Cloth Stone | Dragon New Cloth | Dragon Omega Cloth,22,,14,,
172,Saga,Gemini Cloth | Pope Cloth | Gemini Surplice,22,,14,,
173,Sage,Cancer Cloth,22,,14,,
174,Salinsa,null,22,,14,,
175,Salo,null,22,,14,,
176,Saori Kido,Athena's God Cloth | Athena Kamui,22,,14,,
177,Sasha,Athena's God Cloth | Athena Kamui,22,,14,,
178,Schiller,Cancer Cloth Stone,22,,14,,
179,379,260,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-1.png?alt=media&token=ab7a7436-914d-45c6-931a-cf53f9a74bff,1
180,379,261,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-1.png?alt=media&token=ab7a7436-914d-45c6-931a-cf53f9a74bff,1
181,379,262,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-2.jpg?alt=media&token=1ffb7044-5b35-457b-a0e0-f057d98ea2dd,1
182,379,263,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-3.jpg?alt=media&token=1d5c16a8-dc18-4c10-abe7-4a47d7e88f87,1
183,379,264,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-4.jpg?alt=media&token=84aa5bff-d75c-499f-a3a3-78427fe1b48b,1
184,379,265,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-5.jpg?alt=media&token=e2b0d081-9e0d-4f03-801f-1b39410a2a16,1
185,379,266,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-god.jpg?alt=media&token=cc5cd140-0397-4fa1-a49b-be7c87b26ec5,1
186,379,267,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-miracles.jpg?alt=media&token=31550be1-dd01-4e00-b0f0-ee9e2faec693,5
187,379,368,,9,30,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/amaterasu%2Fkusanagi-seiya.jpg?alt=media&token=a05b71dc-651d-4513-bf12-d3e021c4a35c,2
188,379,369,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagittarius-seiya-1.jpg?alt=media&token=a76a9123-2dfc-4fe1-8296-7640a69c6f7f,5
189,379,370,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagittarius-seiya-2.jpg?alt=media&token=a3de3192-df0d-4f0d-9e44-15b05af07af9,5
190,379,246,13,9,34,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/odin-god-warriors%2Fodin-seiya.jpg?alt=media&token=cfb3f0e3-e251-4dad-af86-6eec6d39c196,1
