id,name,rank,object,artist
1,Anthrakma (Ruby Iron Adamas),,,
2,Brute Force (Lapis Lazuli Adamas),,,
3,Demon Twin Dog (Star Sapphire Adamas),,,
4,Echidna Adamas,Goddess,,
5,Elektron (Amber Beast Adamas),,,
6,Hundred Dragons (Opal Adamas),,,
7,Kyanos (Blue Flame Adamas),,,
8,Leukotes (White Wind Adamas),,,
9,Margarites (Pearl Dragon Adamas),,,
10,Melas (Black Thunder Adamas),,,
11,Nefritis (Jade Armor Adamas),,,
12,Phaios (Grey Blade Adamas),,,
13,Phoinikeos (Crimson Lava Adamas),,,
14,Stupidity Adamas,,,
15,Synthetic Beast (Star Ruby Adamas),,,
16,Thunderclap (Malachite Adamas),,,
17,Typhon Adamas,God,,
18,Warcry (Topaz Adamas),,,
